Removed Member From Class: ClassName=maida_2 Member=*1
Removed Member From Class: ClassName=maida_2 Member=C5
Removed Member From Class: ClassName=maida_2 Member=C6
Removed Member From Class: ClassName=maida_2 Member=C7
Removed Member From Class: ClassName=maida_2 Member=C8
Removed Member From Class: ClassName=maida_2 Member=D3
Removed Member From Class: ClassName=maida_2 Member=D4
Removed Member From Class: ClassName=maida_2 Member=Q3
Removed Member From Class: ClassName=maida_2 Member=Q4
Removed Member From Class: ClassName=maida_2 Member=R14
Removed Member From Class: ClassName=maida_2 Member=R15
Removed Member From Class: ClassName=maida_2 Member=R16
Removed Member From Class: ClassName=maida_2 Member=R17
Removed Member From Class: ClassName=maida_2 Member=R18
Removed Member From Class: ClassName=maida_2 Member=R19
Removed Member From Class: ClassName=maida_2 Member=R20
Removed Member From Class: ClassName=maida_2 Member=R21
Removed Member From Class: ClassName=maida_2 Member=R22
Removed Member From Class: ClassName=maida_2 Member=R23
Removed Member From Class: ClassName=maida_2 Member=R24
Removed Member From Class: ClassName=maida_2 Member=R25
Removed Member From Class: ClassName=maida_2 Member=R26
Removed Member From Class: ClassName=maida_2 Member=VR2
Change component parameters: Designator = "*1" ("*1"); Footprint = "TO92127P495H495-3"; UniqueID = "\BZMWWWFD\OCNJZRKK" ("\BZMWWWFD\OCNJZRKK")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP_panassonic_1u_450V"; UniqueID = "\BZMWWWFD\NOYBHMRT" ("\BZMWWWFD\NOYBHMRT")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CMICA_47PF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAP_panassonic_1u_450V"; UniqueID = "\BZMWWWFD\GNMSRYIP" ("\BZMWWWFD\GNMSRYIP")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CMICA_47PF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C7" ("C7"); Footprint = "CAP_panassonic_1u_450V"; UniqueID = "\BZMWWWFD\RLHROFCJ" ("\BZMWWWFD\RLHROFCJ")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CMICA_47PF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C8" ("C8"); Footprint = "CAP_panassonic_1u_450V"; UniqueID = "\BZMWWWFD\LQCBRZEU" ("\BZMWWWFD\LQCBRZEU")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CMICA_47PF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "D3" ("D3"); Footprint = "DIOAD1036W78L463D272"; UniqueID = "\BZMWWWFD\ZCCRPEKI" ("\BZMWWWFD\ZCCRPEKI")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/1N4735A/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "1N4735A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DO-41 ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/1N4735A/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "D4" ("D4"); Footprint = "DIOAD1036W78L470D235"; UniqueID = "\BZMWWWFD\JHUVCMPM" ("\BZMWWWFD\JHUVCMPM")
Change component parameters (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/1N4001G/Taiwan+Semiconductor/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Taiwan Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "1N4001G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "DO-41-2 Taiwan Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/1N4001G/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/1N4001G/Taiwan+Semiconductor/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "Q3" ("Q3"); Footprint = "TO254P1009X445X1985-3"; UniqueID = "\BZMWWWFD\DSFBUIUM" ("\BZMWWWFD\DSFBUIUM")
Change component parameters (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/TIP50/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
